# Date, Artifact, Family

NA,wsnan2js[.]duckdns[.]org,duckdns[.]org
NA,www[.]uplooder[.]net,uplooder[.]net
NA,xoo[.]ddns[.]net,ddns[.]net
NA,xp18[.]ddns[.]net,ddns[.]net
NA,xylem11[.]ddns[.]net,ddns[.]net
NA,yefgfghh[.]ddns[.]net,ddns[.]net
NA,zaezsefsdfqfds[.]ddns[.]net,ddns[.]net
NA,zeegod[.]duckdns[.]org,duckdns[.]org
NA,zenmacro[.]ddns[.]net,ddns[.]net
NA,2.56.56[.]74,2.56.56[.]0/22
NA,2.56.56[.]126,2.56.56[.]0/22
NA,2.56.59[.]113,2.56.56[.]0/22
NA,3.142.167[.]54,3.128.0[.]0/9
NA,20.91.192[.]34,20.64.0[.]0/10
NA,23.105.131[.]161,23.105.128[.]0/18
NA,23.105.131[.]186,23.105.128[.]0/18
NA,23.105.131[.]206,23.105.128[.]0/18
NA,31.210.20[.]129,31.210.20[.]0/23
NA,37.0.10[.]190,37.0.8[.]0/22
NA,37.0.11[.]76,37.0.8[.]0/22
NA,37.0.14[.]195,37.0.12[.]0/22
NA,37.0.14[.]204,37.0.12[.]0/22
NA,41.90.64[.]153,41.90.0[.]0/17
NA,45.35.105[.]148,45.34.0[.]0/15
NA,45.137.20[.]4,45.137.20[.]0/22
NA,45.137.22[.]142,45.137.20[.]0/22
NA,51.75.232[.]247,51.75.0[.]0/16
NA,51.178.104[.]138,51.178.0[.]0/16
NA,62.171.162[.]130,62.171.160[.]0/19
NA,62.197.136[.]162,62.197.136[.]0/21
NA,62.197.136[.]237,62.197.136[.]0/21
NA,66.225.194[.]4,66.225.192[.]0/18
NA,74.6.231[.]20,74.6.0[.]0/16
NA,79.134.225[.]11,79.134.225[.]0/24
NA,79.134.225[.]16,79.134.225[.]0/24
NA,79.134.225[.]50,79.134.225[.]0/24
NA,79.134.225[.]108,79.134.225[.]0/24
NA,80.76.51[.]178,80.76.51[.]0/24
NA,84.51.52[.]166,84.51.0[.]0/18
NA,85.202.169[.]154,85.202.168[.]0/23
NA,85.202.169[.]165,85.202.168[.]0/23
NA,89.44.9[.]240,89.44.9[.]0/24
NA,89.238.150[.]43,89.238.150[.]0/24
NA,91.92.120[.]123,91.92.120[.]0/24
NA,91.151.137[.]59,91.151.137[.]0/24
NA,91.192.100[.]6,91.192.100[.]0/22
NA,91.192.100[.]30,91.192.100[.]0/22
NA,91.193.75[.]131,91.193.75[.]0/24
NA,91.193.75[.]133,91.193.75[.]0/24
NA,91.193.75[.]135,91.193.75[.]0/24
NA,91.193.75[.]136,91.193.75[.]0/24
NA,91.193.75[.]154,91.193.75[.]0/24
NA,91.193.75[.]209,91.193.75[.]0/24
NA,92.240.245[.]3,92.240.245[.]0/24
NA,95.71.10[.]5,95.71.8[.]0/21
NA,102.89.41[.]13,102.88.0[.]0/13
NA,103.8.79[.]204,103.8.78[.]0/23
NA,103.114.107[.]126,103.114.104[.]0/22
NA,103.153.78[.]234,103.153.78[.]0/23
NA,107.155.162[.]19,107.155.128[.]0/18
NA,107.173.60[.]45,107.172.0[.]0/14
NA,107.182.129[.]16,107.182.128[.]0/22
NA,128.116.201[.]163,128.116.128[.]0/17
NA,136.144.41[.]186,136.144.32[.]0/19
NA,136.243.111[.]71,136.243.0[.]0/16
NA,142.250.64[.]78,142.250.0[.]0/15
NA,151.106.2[.]118,151.0.0[.]0/8
NA,154.118.73[.]247,154.118.64[.]0/19
NA,156.96.44[.]168,156.96.0[.]0/16
NA,156.96.62[.]59,156.96.0[.]0/16
NA,162.159.133[.]233,162.158.0[.]0/15
NA,163.123.142[.]254,163.0.0[.]0/8
NA,176.126.86[.]243,176.126.86[.]0/24
NA,176.168.5[.]0,176.128.0[.]0/10
NA,178.170.138[.]163,178.170.138[.]0/24
NA,179.61.237[.]210,NA
NA,185.19.85[.]134,185.19.84[.]0/22
NA,185.19.85[.]175,185.19.84[.]0/22
NA,185.29.9[.]48,185.29.9[.]0/24
NA,185.140.53[.]3,185.140.53[.]0/24
NA,185.140.53[.]9,185.140.53[.]0/24
NA,185.140.53[.]15,185.140.53[.]0/24
NA,185.140.53[.]25,185.140.53[.]0/24
NA,185.140.53[.]65,185.140.53[.]0/24
NA,185.140.53[.]75,185.140.53[.]0/24
NA,185.140.53[.]131,185.140.53[.]0/24
NA,185.140.53[.]135,185.140.53[.]0/24
NA,185.140.53[.]232,185.140.53[.]0/24
NA,185.157.160[.]229,185.157.160[.]0/23
NA,185.157.162[.]92,185.157.162[.]0/24
NA,185.165.153[.]26,NA
NA,185.222.57[.]90,185.222.57[.]0/24
NA,185.222.57[.]149,185.222.57[.]0/24
NA,185.236.228[.]102,NA
NA,185.244.30[.]68,185.244.30[.]0/24
NA,185.244.31[.]136,185.244.31[.]0/24
NA,193.187.91[.]231,NA
NA,194.5.97[.]24,194.5.97[.]0/24
NA,194.5.98[.]11,194.5.98[.]0/24
NA,194.5.98[.]15,194.5.98[.]0/24
NA,194.5.98[.]20,194.5.98[.]0/24
NA,194.5.98[.]28,194.5.98[.]0/24
NA,194.5.98[.]31,194.5.98[.]0/24
NA,194.5.98[.]38,194.5.98[.]0/24
NA,194.5.98[.]45,194.5.98[.]0/24
NA,194.5.98[.]48,194.5.98[.]0/24
NA,194.5.98[.]113,194.5.98[.]0/24
NA,194.5.98[.]148,194.5.98[.]0/24
NA,194.5.98[.]183,194.5.98[.]0/24
NA,194.5.98[.]198,194.5.98[.]0/24
NA,194.5.98[.]204,194.5.98[.]0/24
NA,194.5.98[.]211,194.5.98[.]0/24
NA,194.5.98[.]227,194.5.98[.]0/24
NA,194.9.172[.]60,194.9.172[.]0/24
NA,194.31.98[.]18,194.31.98[.]0/24
NA,194.31.98[.]178,194.31.98[.]0/24
NA,194.147.140[.]25,194.147.140[.]0/24
NA,194.147.140[.]211,194.147.140[.]0/24
NA,195.133.18[.]136,195.133.16[.]0/22
NA,197.210.54[.]64,197.210.52[.]0/22
NA,197.210.55[.]184,197.210.52[.]0/22
NA,197.210.84[.]75,197.210.84[.]0/22
NA,197.210.227[.]204,197.210.227[.]0/24
NA,197.211.58[.]124,197.211.58[.]0/24
NA,198.50.171[.]25,198.50.128[.]0/17
NA,198.204.241[.]158,198.204.224[.]0/19
NA,203.159.80[.]66,203.159.80[.]0/20
NA,206.123.155[.]56,206.123.128[.]0/19
NA,212.192.241[.]7,212.192.240[.]0/22
NA,212.192.241[.]159,212.192.240[.]0/22
NA,212.192.241[.]164,212.192.240[.]0/22
NA,212.193.30[.]75,212.193.28[.]0/22
NA,212.193.30[.]166,212.193.28[.]0/22
NA,213.152.161[.]10,213.152.161[.]0/24
NA,213.152.161[.]211,213.152.161[.]0/24
NA,216.250.250[.]94,216.250.248[.]0/21
NA,217.79.184[.]12,NA
