# Date, Artifact, Family

2022-08-01,167.71.56[.]116,167.71.0[.]0/16
2022-08-01,mamarita10005[.]ddns[.]net,ddns[.]net
2022-08-01,makeke[.]ddns[.]net,ddns[.]net
2022-08-01,194.5.98[.]102,194.5.98[.]0/24
2022-08-01,hostlogsnation[.]duckdns[.]org,duckdns[.]org
2022-08-01,91.192.100[.]11,91.192.100[.]0/22
2022-07-29,judge2020[.]ddns[.]net,ddns[.]net
2022-07-29,197.210.54[.]250,197.210.52[.]0/22
2022-07-29,antitor[.]duckdns[.]org,duckdns[.]org
2022-07-29,20.121.6[.]225,20.64.0[.]0/10
2022-07-29,beilard[.]duckdns[.]org,duckdns[.]org
2022-07-29,31.56.170[.]6,31.56.168[.]0/21
2022-07-29,beilard1[.]ignorelist[.]com,ignorelist[.]com
2022-07-29,sannation[.]duckdns[.]org,duckdns[.]org
2022-07-29,194.5.98[.]178,194.5.98[.]0/24
2022-07-29,ratcentho[.]ddns[.]net,ddns[.]net
2022-07-29,86.219.97[.]216,86.219.0[.]0/16
2022-07-29,4[.]tcp[.]ngrok[.]io,ngrok[.]io
2022-07-29,3.129.187[.]220,3.128.0[.]0/9
2022-07-29,goldresulthsot[.]duckdns[.]org,duckdns[.]org
2022-07-29,91.192.100[.]22,91.192.100[.]0/22
2022-07-29,futurist2[.]ddns[.]net,ddns[.]net
2022-07-29,197.210.84[.]35,197.210.84[.]0/22
2022-07-29,logsresu59[.]duckdns[.]org,duckdns[.]org
2022-07-29,91.193.75[.]236,91.193.75[.]0/24
2022-07-29,uhie[.]hopto[.]org,hopto[.]org
2022-07-29,uyeco[.]pw,uyeco[.]pw
2022-07-29,188.72.98[.]123,188.72.98[.]0/24
2022-07-29,meetwithnicholson[.]ddns[.]net,ddns[.]net
2022-07-29,nano8100[.]duckdns[.]org,duckdns[.]org
2022-07-29,185.140.53[.]12,185.140.53[.]0/24
2022-07-29,37.120.210[.]219,37.120.210[.]0/24
2022-07-29,chase22[.]ddns[.]net,ddns[.]net
2022-07-29,craigjonson912[.]bounceme[.]net,bounceme[.]net
2022-07-29,185.157.162[.]187,185.157.162[.]0/24
2022-07-29,api[.]telegram[.]org,telegram[.]org
2022-07-29,149.154.167[.]220,149.154.128[.]0/17
2022-07-29,185.157.162[.]75,185.157.162[.]0/24
2022-07-29,nanjuly[.]duckdns[.]org,duckdns[.]org
2022-07-29,208.67.105[.]101,208.67.104[.]0/22
2022-07-29,yomo[.]hopto[.]org,hopto[.]org
2022-07-29,68.235.44[.]53,68.235.32[.]0/19
2022-07-29,boobymoore[.]ddns[.]net,ddns[.]net
2022-07-29,197.210.78[.]180,197.210.76[.]0/22
2022-07-21,cuckoldfarmer[.]ddns[.]net,ddns[.]net
2022-07-21,185.65.134[.]179,185.65.134[.]0/24
2022-07-18,tuk[.]linkpc[.]net,linkpc[.]net
2022-07-18,188.127.230[.]176,188.127.230[.]0/24
2022-07-18,donaldossoinc[.]hopto[.]org,hopto[.]org
2022-07-18,idkwhattodo[.]hopto[.]org,hopto[.]org
2022-07-18,amechi[.]duckdns[.]org,duckdns[.]org
2022-07-18,194.5.98[.]222,194.5.98[.]0/24
2022-07-18,azizurfattahtrading[.]ddns[.]net,ddns[.]net
2022-07-18,91.193.75[.]221,91.193.75[.]0/24
2022-07-18,104.144.69[.]159,104.144.0[.]0/16
2022-07-18,config[.]linkpc[.]net,linkpc[.]net
2022-07-18,188.127.231[.]93,188.127.231[.]0/24
2022-07-18,213.184.126[.]143,213.184.96[.]0/19
2022-07-18,236philipjohnson[.]freedynamicdns[.]org,freedynamicdns[.]org
2022-07-18,5[.]tcp[.]eu[.]ngrok[.]io,ngrok[.]io
2022-07-18,3.127.181[.]115,3.0.0[.]0/9
2022-07-18,valorantstuffspoof[.]ddns[.]net,ddns[.]net
2022-07-18,portmapuser9999-40587[.]portmap[.]io,portmap[.]io
2022-07-18,193.161.193[.]99,193.161.193[.]0/24
2022-07-18,2[.]tcp[.]eu[.]ngrok[.]io,ngrok[.]io
2022-07-18,18.156.13[.]209,18.128.0[.]0/9
2022-07-18,7[.]tcp[.]eu[.]ngrok[.]io,ngrok[.]io
2022-07-18,35.157.111[.]131,35.160.0[.]0/12
2022-07-12,172.245.163[.]161,172.245.0[.]0/16
2022-07-12,35.198.98[.]125,35.192.0[.]0/12
2022-07-12,wiz121[.]ddns[.]net,ddns[.]net
2022-07-12,194.5.98[.]17,194.5.98[.]0/24
2022-07-12,brewsterchristophe[.]hopto[.]org,hopto[.]org
